,평점,일시,감상평
86,10,2020.06.04 17:22,아 진짜 재밌음 기존 스릴러와 다르게 뭔가 색다르면서 긴장감 넘칩니다 ㅋㅋ 연기들도 잘하고요
87,10,2020.06.04 14:08,송지효님 연기가 많이 좋아지신거같다
88,10,2020.06.04 16:38,후반이 조금 아쉽긴한데 집중도 장난아님 배우들 연기만으로도 충분히 볼만함
89,10,2020.06.04 17:25,
90,10,2020.06.04 16:59,송지효님 김무열님 둘 다 이번 영화에 너무 잘어울려요ㅠㅠㅠ 긴장감도 대박
91,10,2020.06.04 16:47,김무열씨도 연기를 잘하셧지만 지효누나 왤케 연기잘해  소름돋아 ㅠ 지효누나 짱 ㅠ 영화 대박나자 ㅎ
92,10,2020.06.07 09:13,과연 송지효는 동생이엇을까
93,10,2020.06.04 15:58,너무 무서운데 진짜 재밌어요 이거 보면 아무도 지효언니 연기 뭐라 못할정도로 너무 연기를 잘해서 막 소름돋으면서 봤어요ㅠㅠㅜㅠ
94,10,2020.06.04 16:00,송지효 이런 분위기가 정말 잘 어울리는 것 같다김무열은 워낙 이런 분위기의 영화를 많이 찍어서 인지 역시나 잘 어울렸다송지효와 김무열의 연기가 정말 좋았다긴장을 멈출 수 없는 영화
95,10,2020.06.04 17:00,근래에 본 영화 중 최고였습니다 송지효씨 연기 대박이에요ㅠㅜ
96,8,2020.06.04 16:05,"영화는 솔직히 용두사미 삘이 강합니다. 그냥저냥 볼만한 수준이고 근데 지효 누님이 생각외로 연기 잘하시네요. 미스터리,스릴러 이쪽 장르가 딱 맞는 옷을 입은 느낌? 아무튼 개인적으로는 송지효의 재발견입니다. 앞으로도 더 좋은 작품으로 볼 수 있었으면. "
97,10,2020.06.04 14:59,별로기대안하고 봤는데 최근 본 영화중 가장 재미있었음
98,10,2020.06.04 14:41,오랜 기다림끝에 드디어 개봉한 영화 보는 내내 송지효의 연기변신에 제대로 지렸다 런닝맨에서 활약하는 송지효로만 생각하면 큰 오산
99,10,2020.06.04 13:51,오래만에 재미지게  봤네요.연기 짱   스토리  짱 입니다
100,10,2020.06.04 17:42,올해 본 미스터리 스릴러 영화중 최고
