,평점,일시,감상평
189,10,2020.06.04 18:41,침입자 내가 기대했던것보다 매우재밌었음 극을 이끌어가는 배우들의 연기력과 그 스토리가 매우 몰입할수있게 해주었음 추천드림 코로나 후딱 끝나라!!
190,7,2020.06.04 18:31,배우들 연기 진짜 잘해요 특히 송지효 와 눈빛연기에서 진짜 끝났어요 연기를 다들 잘해서 보기에도 편했어요
191,8,2020.06.06 19:27,"가족간  대화의 중요성,사이비 종교에 빠지지말것"
192,1,2020.06.07 14:01,에어컨 바람 쐬러 가는 영화^^ 정말 공짜로 봤기에 다행이지 진짜 돈내고 봤으면.... 송지효 이쁜거만 보임. 내용 개똥핵망함. 개연성 전혀없고 이 시국에 사이비 내용영화라니ㅠ 진짜 절대보지마세요 ㅠㅠㅠㅠ 시간떼우려고 그냥 앉아있었음 
193,10,2020.06.04 17:43,지효언니 짱...
194,9,2019.11.11 00:37,김무열씨 팬입니다.. 화이팅
195,8,2020.06.08 15:28,송지효 김무열 연기는 진짜 좋고 몰입감이나 긴장감을 잘 느낄 수 있는건 좋지만 스토리가 좀..아쉬운 영화... 중간중간 설명이 부족하고 개연성 떨어지는 부분이 있는게 아쉽습니다..아쉬운 점은 있지만 개인적으로 돈 아까울 정도로 재미없진 않았습니다.. 너무 기대는 하지 마시고 그냥 그럭저럭한 스릴러 한편 본다고 생각하시고 영화보시길.. 
196,8,2020.06.05 15:33,초반부터 아주 긴장되게 하던데요
197,8,2020.06.05 15:23,"뻔한 전개, 스토리, 결말그럼에도 송지효 연기 하나로 8점 줌"
198,10,2020.06.05 15:18,배우들 연기 잘 보고 갑니다♡
199,10,2020.06.05 14:54,어딘가에 진짜 있을법한 이야기랄까?..
200,10,2020.06.05 14:49,"감독님 소설들도 참 좋아하는데 영화 데뷔도 대박이네요, 잘봤습니다"
201,10,2020.06.05 14:41,
202,9,2020.06.05 14:06,"동생은 오빠를 의심, 오빠는 동생을 의심. 가족 스릴러"
203,8,2020.06.04 15:44,영화는 정말 재미있게 봤는데 솔직히 처음부터 끝까지 기분이 찝찝한 그런 영화였어요
204,7,2020.06.05 17:23,"분명 중반부까지는 탄탄한 스토리, 배우들의 뛰어난 연기, 적당한 빠르기의 전개까지, 엄청난 긴장감을 갖게 해주는 영화이다. 하지만 후반부에 가서 다소 황당한 내용전개, 어이가 없어서 웃음이 나는 연출까지, 쌓아왔던 긴장감이 한 순간에 무너지는 허무한 결말때문에 6점 정도의 영화인 것 같다. 그와 별개로 배우들의 연기는 정말 역대급인 것 같다. 송지효와 김무열의 연기는 흠 잡을 점이 없이 완벽했고 조연들의 연기 역시 영화의 몰입감을 극대화 시켜주는 요소였었다.  정리하자면 초중반의 뛰어난 빌드업에 비해 후반부의 마무리가 아쉬운, 하지만 배우들의 연기가 살린 영화. "
205,10,2020.06.05 16:57,이 영화 예고편을 2월달부터 본것 같은데..드디어 보네요.. 하루빨리 코로나가 종식되서 더 많은 영화를 보게 되길 기대합니다~
206,10,2020.06.05 16:56,저는 이거 너무 재밌게 봤어요
207,10,2020.06.05 16:42,긴장하면서 봤는데. 반전이 몇번 있어서 신선했습니다.
208,10,2020.06.05 16:09,아 님들 이거 꼭 보세요 진짜 제발
209,8,2020.06.05 15:44,신천지 같은 사이비 종교를 소재로 하다니 참으로 시의적절한 영화다!
210,10,2020.06.05 15:28,
211,10,2020.06.05 15:15,"여고괴담에서 봤던 송지효의 소름 끼쳣던 연기를 이번에 다시 볼 수 있었다, 은근 스릴러 장인"
212,10,2020.06.05 15:00,레알 너무 긴장감 넘치고 재미있어요
213,7,2020.06.05 13:55,전반적으로 볼만한 영화이고 스토리는 억지 한스푼? 정도 있는 느낌이랄까 후반부에 조금 루즈하네요
214,8,2020.06.05 09:21,전형적인 용두사미초중반은 긴장감 넘치고 재밌었지만 후반부에서 아쉬웠던 영화...
215,8,2020.06.05 08:42,김무열 연기는 언제나처럼 굿. 송지효 의외의 열연. 스토리 긴장감 초반은 굿. 시간이 갈수록 커져가는 궁금증. 하지만 궁금증이 허무하게 해소. 오랜만에 극장 영화라 나름 만족했지만 후반부 스토리가 조금은 아쉽.
216,10,2020.06.04 21:32,초반 부터 후반 까지 지루함없이 스릴있네요무었보다 연출과 연기가 좋은것같은데
217,8,2020.06.04 19:37,뭐 그럭저럭 볼만하다께
218,10,2020.06.04 18:14,
219,10,2020.06.04 16:21,
220,8,2020.06.04 14:58,"가볍게 볼 수 있는 영화,..재미 있음"
221,8,2020.06.08 18:13,"김무열, 송지효의 개성강한 연기가 좋았던작품...신천지가  생각났음."
222,10,2020.06.06 20:33,나만 당할 수 없으니 추천
223,10,2020.06.05 18:14,무조건적인 믿음으로 빚어진 비극 앞에 가족이란 사실이 위안이 될까+자기들 취향이랑 다르면 다 알바라고 생각하는 건가
224,10,2020.06.05 16:56,손원평 감독님 답게 스토리텔링은 끝내주네요
225,10,2020.06.05 16:25,송지효 연기 완전 섬뜩하게 잘해요 진짜 소름이고 반전이에요 김무열도 진짜 연기 대박이에요..!! 간만에 재밌는 스릴러 봤네요
226,10,2020.06.05 16:18,미스터리 스릴러는 언제나 옳지요 ㅋㅋ
227,10,2020.06.05 14:04,그냥 잼날꺼 같아요 ㅜㅜ 아직 보지는 못했는데 그냥 네이버가 뒤지다가 이게 1위될낄래 좋아서 감성평에 올림니다 ㅜㅜ 다시축하해요 ??
228,9,2020.06.05 14:03,드디어 보고온 영화 기다리느라 목빠지는줄. 꽤 재미나네
229,10,2020.06.05 14:03,김무열은 스릴러랑 너무 잘어울린다.
230,10,2020.06.05 13:59,송지효 연긴변신 대박!! 언니 사랑해여!!+_+
231,10,2020.06.05 13:25,내가 이래서 지효 언니를 너무 좋아해
232,10,2020.06.05 02:32,송지효 연기력 미!침ㅋㅋㅋ소름돋는다 영화도 너무 재밌어요!!
233,10,2020.06.05 00:53,완젼 대박!!졸잼~~ 지효언니나오는영화는 믿고 봅니다앙~꼭보세오 안본사람들은 꼭 보시길바랍니다아~~^^*ㅎ지효언니 항상응원합니다
234,10,2020.06.05 00:48,송지효는 정말 소름 끼쳤다
235,10,2020.06.05 00:09,지효언닌 앞으로 악역쪽으로 ~~~  눈빛이  후덜후덜 ~
236,10,2020.06.04 21:21,긴장감정말 장난아니였습니다. 김무열 송지효 연기케미도 좋아요 ㅠ ㅠ 간만에 재미난 영화 봤습니다
237,10,2020.06.04 20:44,기대 이상으로 재밌었어요ㅎㅎ
238,10,2020.06.04 20:40,스릴감 넘치는 한국영화! 오랜만에 쫄깃쫄깃하게 잘봤습니다!
239,10,2020.06.04 20:31,오랜만에 극장에서 영화보니 개좋아! 영화도 존잼!!!
240,10,2020.06.04 20:25,송지효 연기 잘한다..
241,8,2020.06.04 19:57,"공포보단 스릴인듯 개봉하자마자 오늘 봤는데  예고랑 유튜브 리뷰? 까지 보고 봤는데  예상치 못한 전개들이 많았음. 그리고 두 주인공님들이 연기를 잘하는거 + 브금,사운드가 잘 섞여있어서 스릴있게 봤음"
242,8,2020.06.04 19:56,"공포보단 스릴인듯 개봉하자마자 오늘 봤는데  예고랑 유튜브 리뷰? 까지 보고 봤는데  예상치 못한 전개들이 많았음. 그리고 두 주인공님들이 연기를 잘하는거 + 브금,사운드가 잘 섞여있어서 스릴있게 봤음"
243,10,2020.06.04 19:47,오랫만에 보러갔는데 재밌어요!!!
244,8,2020.06.04 19:02,김무열님 송지효님 연기는 정말 훌륭하다....하지만 스토리 마무리가 너무 아쉽다....ㅠㅜ
245,10,2020.06.04 16:45,
246,10,2020.06.04 23:17,긴장하다 힘들었음 두배우의 연기 몰입도 최강 베스트셀러 작가의 작품이라선지 디테일 구성 탄탄  특히 송지효의 무서운 연기 참 인상적이었음안전수칙 지키며 관람하세요
247,10,2020.06.04 22:31,송지효랑 김무열 연기 잘하더라 김무열은 워낙 연기 잘하는건 알고 있었고 송지효가 의외임
248,10,2020.06.04 19:39,추리 하면서 보는 재미가 쏠쏠ㅋㅋ 근데 끝날때까지 진짜 침입자가 누군지 헷갈린다
249,6,2020.06.07 14:57,"그냥 볼만했음, 약간 영화 겟아웃 볼때랑 비슷한 긴장감을 느꼇던 것 같음"
250,10,2020.06.05 14:09,진짜 연기 잘하는구나.. 싶었음..스토리가 조금만 더 탄탄했었으면 싶지만보는동안은 너무 몰입되서 허점이 있다는 생각을 안하게됨
251,1,2020.06.05 22:46,어쩜 이렇게 지루하게 만들었을까..김무열은 계속 멍청하게 소리만 질러대고..송지효는 여전히 발연기해대고..몇개 영화를 짜집기해놓은 이도저도 아닌 지루함 덩어리ㅜㅜ알바 댓글 제발 그만좀해라
252,1,2020.06.05 22:01,댓글 알바 속지 말자  에휴  코로나 때문에 집콕 할려다가평점 보고 갔더만 진짜 재미가;;;
253,10,2020.06.05 05:52,나.. 나만 당할수없지
254,1,2020.06.04 21:34,진짜 어이가 없네 돈날리지 말고 다른 영화 보세요 연출 스토리 개연성 다 박살났네요
255,7,2020.06.04 20:29,볼만하네요 코로나19때문에 영화관안가서 우울하신 분들에게 추천합니다 손해까지는 아닙니다
256,8,2020.06.08 12:26,"솔직히 진짜 기대안하고봤는데 재밌음ㅋㅋ 송지효 눈빛 무섭,,,김무열은  뭐 역시 연기잘하고 ㅋㅋ 역시 영화는 기대를 안하고봐야지 됌"
257,10,2020.06.05 15:58,기생충 위에 침입자있다
258,10,2020.06.05 15:32,이게 진짜 웰메이드 스릴러지 ~ㅎㅎ
259,10,2020.06.05 14:24,재밌네요~ 둘다 연기도 잘하구 시간이 금방가요
260,9,2020.06.04 20:55,올해 본 미스터리 스릴러 영화중 최고  지효언니 진짜 최고
261,8,2020.06.04 20:41,"긴장감 있고 결말이 신선, 나름 스토리도 탄탄하다고 생각했는데 1,2점 주는 사람들이야말로 사이비 신도들인가..."
262,10,2020.06.04 20:32,송지효와 김무열의 최강조합이다.내용도 연기도 짱짱와...개봉하자마자 본 것이 좋다
263,10,2020.06.04 19:19,믿고 보는 김무열.. 송지효도 연기 너무 잘해ㅠㅠㅠ
264,10,2020.06.04 19:12,이게 바로 웰메이드 스릴러 영화가 아닐까
265,10,2020.06.04 19:10,10점입니다9점밑아님
266,9,2020.06.08 21:14,지효언니 짱
267,8,2020.06.08 10:38,송지효의 두 얼굴 연기가 정말 대단했다 후반부로 갈수록 김무열의 애타고 발악하는 연기가 영화의 몰입도를 올렸다 전체적인 스토리는 나름 탄탄했고 요즘 사회적 이슈를 스토리에 잘 녹였기에 영화를 보고 난 후에 감독이 보내는 메시지를 쉽게 깨달을 수 있었다 
268,10,2020.06.08 10:22,송지효 연기 되게 잘 하는 거 침입자 보고 다시 느끼게 된 것 같은데... 저는 진짜 재미있게 잘 봤어요!
269,10,2020.06.08 09:56,송지효 연기 물올랐네
270,10,2020.06.05 05:40,오랜만에 나온 볼만한 영화. 송지효 김무열 연기도 굿. 마스크 쓰고 꼭 가서 보세요.
271,10,2020.06.05 01:06,코로나만 아니였으면 6월의 영화로 대박
272,10,2020.06.04 22:46,진짜 지효 연기 너무잘해여 재밌슴다 다들보세요~~~:)
273,10,2020.06.04 22:32,나 혼자보기아까움 마치 리얼처럼 꼭들 보세염
274,10,2020.06.04 22:27,너무 재밌게 봤어요 예상치도 못한 스토리 인상 깊었어요
275,10,2020.06.04 16:45,
276,10,2020.06.08 18:29,역시 김무열표 스릴러 영화ㅋㅋㅋ 너무 재밌게 봤고 송지효는 원래 이렇게 연기 잘햇듬?? 눈빛 연기 개소름
277,2,2020.06.05 22:59,댓글에 속았음 중간에 나올뻔
278,1,2020.06.05 22:54,한명의 사이다 역할만 있었어도이렇게 촌스러운 영화는 되지않았을터..평점알바 건당 얼마인가요
279,1,2020.06.05 22:00,김무열 송지효 연기빼고 볼 것 1도 없는 영화. 대사가 다 어색한데 그나마 주연들이 살린 것 같고. 뭔 하고 싶은 이야긴 이리 많은지 진짜 재미 없음
280,1,2020.06.05 23:10,혹시나 평점알바에 낚이시는분 계실까봐 걱정되서 살면서 처음으로 영화리뷰씁니다.배우들 연기는 좋았지만 영화 보고나면 머리아프고 찝찝합니다.보면서 정말 고구마 100개먹은거 처럼 가슴이 답답하고 스트레스받았습니다 ㅠ 긴장감 있고 시간 순삭되는건 좋지만 보고나면 괜히봤다라는 생각 드네요. 비추합니다. 
281,1,2020.06.07 13:21,네이버 평점 알바 너무 많이 풀었네요더럽고 치사한데 더욱 더 너무 한건 동시 상영중인 외국영화에 별점테러까지 해놨네요 네이버 거릅니다 그렇게 더럽게 돈벌어서 뭐하려고?진짜 살다살다 이런 쓰레1기 영화 처음봅니다.클레멘타인급 이거 만든 사람은 대체 무슨 자신감으로 영화산업에 뛰어들었는지 진짜 정신차리라고 말해주고싶음 근데 송지효가 연기하는거 처음봐서 1점드림 아니였으면 0점 
282,2,2020.06.05 20:40,정말 비추천이에요. 다른평점 알바쓴것같네요분위기도 어둡고 스토리도 엉성하고 끝도 찜찜하네요시간낭비. 돈낭비. 정서낭비...
283,1,2020.06.05 20:23,평점에 알바가 침입자!!!
284,9,2020.06.05 15:16,분위기 대박 ~~ 몰입감 미쳣다 ㅋ
285,8,2020.06.10 19:09,송지효 김무열 연기 좋았다
286,10,2020.06.08 14:47,송지효 김무열 연기 너무 좋아요 스토리도 재밌었습니다
287,8,2020.06.08 12:35,이정도면 비수기에 오랜만에 나온 영화로 나쁘지않았습니다. 긴장감꽤 있었구요
288,10,2020.06.05 18:54,진짜 재미습니다 꼭 가서 보세요
289,10,2020.06.05 18:31,여운이 많이 남네요 진짜 코로나 때문에 한적할때 갔는데 진짜 강추합니다
290,10,2020.06.05 13:13,
291,8,2020.06.04 21:27,가정에 침입한 사상의 무서움
292,10,2020.06.05 19:09,오랜만에 보는 국내 상업영화~! 더운 여름에 즐길만한 영화였다
293,10,2020.06.05 19:09,극장에서 본 영화가 오랜만이라 그런지 몰라도 재밌게 잘 보고온것 같아요 송지효의 연기 변신! 성공입니당!
294,10,2020.06.05 19:08,반전도 나쁘지 않고 생각없이 보다보니 저도 모르게 빨려들어가네요
295,10,2020.06.05 19:05,"디테일로 사람 긴장시키는 영화, 몇번이고 개봉이 미뤄져서 어쩌다 긴 홍보기간 많은 스포영상들을 남겼음에도 상상도 못한전개, 단조로운 장소변화임에도 배우들에 디테일한 연기로 분명 같은 장소임에도 이질적인 분위기, 도대체 누가 거짓이고 누가 침입자인지 의심하며 보게 되었고 극 중간엔 누구에게나 있을 수 있는 공포라는 홍보문구를 이해하여 몰입했으며, 영화가 끝나고서는 유진에게는 서진이 침입자라는 말을 이해하게 되었다. 그리고 어쩌면 이라는 단어로 뒤를 또 서진에 심리를 상상하게 되었다. 영화관에서 한번 보고 매 장면에 디테일과 배우들에 디테일을 곱씹으며 집에서 복습하고 싶은 영화, 감독님이 장면을 편집할 때 아까웠을것같다. 분명 더 끝도없이 디테일 하고 싶었을 것 같다 . "
296,10,2020.06.05 19:03,"진짜 개꿀잼 꼭 보세요 그냥 존잼 이 근래에 봤던 영화중에서 최고였음...송지효,김무열 연기 존내 잘함..."
297,10,2020.06.05 17:04,재밋네요코로나시기만안탓으면 대박일듯요
298,10,2020.06.05 13:59,
299,10,2020.06.05 13:52,초반부 긴장감이 중반까지 최고조에 이르러 연기력이 폭발함과 동시에 후반부에 긴장감도 팡 터져버림. 간만에 드립치며 웃으면서 볼 수 있었던 힐링스릴러
300,10,2020.06.05 13:04,송지효 연기 잘함 영화 재밌당
301,10,2020.06.05 02:19,송지효 연기력 대박 !!
302,9,2020.06.05 02:18,기대안하고 봤는데 흥미진진하고 재밌었음공포스릴러 매니아인데 이정도면 한국영화치고나쁘지않음 약간 뒤로갈수록 답답함과 짜증이 났지만 전체적으로 지루하지않고 재밌었음재미없단사람들은 다 틀딱에 노땅일거같음 참고로20대 여자임ㅋ 
303,10,2020.06.05 01:34,진짜 재밌어!!!특히 송지효 연기 잘하시다!!!!
